time;survival
0;0,99819
0,01;0,99598
0,02;0,99422
0,03;0,99337
0,04;0,99359
0,05;0,99397
0,06;0,99333
0,07;0,99088
0,08;0,9873
0,09;0,9836
0,1;0,98046
0,11;0,97746
0,12;0,97388
0,13;0,96929
0,14;0,96421
0,15;0,95933
0,16;0,95501
0,17;0,95047
0,18;0,94464
0,19;0,93688
0,2;0,92766
0,21;0,91775
0,22;0,90741
0,23;0,89556
0,24;0,88082
0,25;0,86305
0,26;0,84578
0,27;0,83318
0,28;0,82758
0,29;0,82593
0,3;0,82424
0,31;0,81994
0,32;0,81438
0,33;0,80959
0,34;0,80674
0,35;0,80483
0,36;0,80245
0,37;0,79878
0,38;0,79442
0,39;0,79019
0,4;0,78665
0,41;0,78358
0,42;0,78069
0,43;0,7777
0,44;0,77446
0,45;0,77083
0,46;0,76679
0,47;0,76265
0,48;0,75875
0,49;0,75529
0,5;0,75217
0,51;0,74923
0,52;0,7463
0,53;0,74308
0,54;0,73929
0,55;0,73478
0,56;0,72976
0,57;0,72447
0,58;0,7192
0,59;0,71437
0,6;0,71037
0,61;0,70725
0,62;0,70425
0,63;0,70054
0,64;0,69582
0,65;0,6907
0,66;0,68592
0,67;0,68179
0,68;0,67794
0,69;0,6739
0,7;0,66937
0,71;0,66438
0,72;0,65898
0,73;0,6535
0,74;0,64869
0,75;0,64532
0,76;0,64352
0,77;0,64234
0,78;0,64072
0,79;0,63826
0,8;0,63562
0,81;0,6335
0,82;0,63208
0,83;0,63063
0,84;0,62837
0,85;0,62513
0,86;0,62164
0,87;0,61869
0,88;0,61645
0,89;0,61419
0,9;0,61113
0,91;0,6071
0,92;0,6028
0,93;0,59898
0,94;0,59582
0,95;0,59276
0,96;0,5892
0,97;0,58481
0,98;0,57963
0,99;0,57374
1;0,56732
1,01;0,56071
1,02;0,55426
1,03;0,54823
1,04;0,54281
1,05;0,53814
1,06;0,53394
1,07;0,52933
1,08;0,52347
1,09;0,51648
1,1;0,50957
1,11;0,50397
1,12;0,49988
1,13;0,4963
1,14;0,49222
1,15;0,48737
1,16;0,4823
1,17;0,47757
1,18;0,47338
1,19;0,46957
1,2;0,46596
1,21;0,46254
1,22;0,45945
1,23;0,45683
1,24;0,45455
1,25;0,45217
1,26;0,44927
1,27;0,44592
1,28;0,44261
1,29;0,43982
1,3;0,43751
1,31;0,43519
1,32;0,43235
1,33;0,42903
1,34;0,42569
1,35;0,42281
1,36;0,42041
1,37;0,41814
1,38;0,41565
1,39;0,41303
1,4;0,41068
1,41;0,40898
1,42;0,40768
1,43;0,40601
1,44;0,40323
1,45;0,39932
1,46;0,3948
1,47;0,3902
1,48;0,38555
1,49;0,38056
1,5;0,37497
1,51;0,36905
1,52;0,36347
1,53;0,35888
1,54;0,35539
1,55;0,35278
1,56;0,35078
1,57;0,34917
1,58;0,3477
1,59;0,34616
1,6;0,34451
1,61;0,34288
1,62;0,34136
1,63;0,33986
1,64;0,33816
1,65;0,33607
1,66;0,33365
1,67;0,33109
1,68;0,32857
1,69;0,32614
1,7;0,32377
1,71;0,3214
1,72;0,319
1,73;0,31654
1,74;0,314
1,75;0,31149
1,76;0,30917
1,77;0,30722
1,78;0,30559
1,79;0,30414
1,8;0,30275
1,81;0,30124
1,82;0,29946
1,83;0,29726
1,84;0,29478
1,85;0,29228
1,86;0,29002
1,87;0,28822
1,88;0,28707
1,89;0,28668
1,9;0,28679
1,91;0,28693
1,92;0,28667
1,93;0,28593
1,94;0,28477
1,95;0,28327
1,96;0,28159
1,97;0,27995
1,98;0,27851
1,99;0,27704
2;0,27522
2,01;0,27278
2,02;0,27012
2,03;0,26789
2,04;0,26662
2,05;0,26598
2,06;0,26534
2,07;0,26415
2,08;0,26248
2,09;0,26063
2,1;0,25887
2,11;0,25725
2,12;0,25574
2,13;0,25428
2,14;0,25274
2,15;0,25095
2,16;0,24879
2,17;0,24634
2,18;0,24375
2,19;0,24115
2,2;0,23868
2,21;0,23644
2,22;0,23453
2,23;0,23292
2,24;0,23154
2,25;0,23029
2,26;0,22882
2,27;0,22677
2,28;0,22386
2,29;0,22046
2,3;0,21712
2,31;0,21426
2,32;0,21188
2,33;0,20981
2,34;0,20795
2,35;0,20631
2,36;0,20496
2,37;0,20393
2,38;0,20315
2,39;0,20253
2,4;0,20195
2,41;0,20122
2,42;0,2001
2,43;0,1985
2,44;0,19674
2,45;0,19527
2,46;0,19436
2,47;0,1937
2,48;0,19285
2,49;0,19148
2,5;0,18976
2,51;0,18798
2,52;0,18633
2,53;0,18475
2,54;0,18314
2,55;0,18144
2,56;0,17978
2,57;0,17832
2,58;0,1772
2,59;0,17642
2,6;0,17598
2,61;0,17585
2,62;0,17591
2,63;0,17602
2,64;0,17608
2,65;0,17608
2,66;0,176
2,67;0,17574
2,68;0,17498
2,69;0,17333
2,7;0,17073
2,71;0,16803
2,72;0,1662
2,73;0,1658
2,74;0,16614
2,75;0,16636
2,76;0,16588
2,77;0,1649
2,78;0,16377
2,79;0,16275
2,8;0,16195
2,81;0,16149
2,82;0,16138
2,83;0,16146
2,84;0,16155
2,85;0,16154
2,86;0,16151
2,87;0,16156
2,88;0,1617
2,89;0,16174
2,9;0,16144
2,91;0,16074
2,92;0,15982
2,93;0,15895
2,94;0,15823
2,95;0,15746
2,96;0,15644
2,97;0,15504
2,98;0,15333
2,99;0,1514
3;0,14944
3,01;0,14782
3,02;0,14694
3,03;0,14686
3,04;0,14707
3,05;0,14699
3,06;0,14634
3,07;0,14537
3,08;0,14441
3,09;0,1436
3,1;0,14284
3,11;0,14198
3,12;0,14101
3,13;0,14018
3,14;0,13977
3,15;0,13981
3,16;0,13992
3,17;0,13972
3,18;0,13903
3,19;0,13809
3,2;0,13712
3,21;0,13627
3,22;0,1355
3,23;0,13477
3,24;0,13402
3,25;0,1332
3,26;0,13225
3,27;0,13125
3,28;0,13047
3,29;0,13015
3,3;0,13027
3,31;0,13036
3,32;0,12996
3,33;0,12902
3,34;0,12809
3,35;0,12776
3,36;0,12802
3,37;0,12812
3,38;0,12729
3,39;0,1255
3,4;0,12366
3,41;0,12273
3,42;0,12284
3,43;0,1231
3,44;0,1226
3,45;0,1211
3,46;0,11916
3,47;0,11741
3,48;0,11595
3,49;0,11437
3,5;0,11225
3,51;0,10964
3,52;0,10714
3,53;0,10537
3,54;0,10444
3,55;0,10392
3,56;0,10339
3,57;0,10265
3,58;0,10175
3,59;0,10077
3,6;0,099828
3,61;0,09909
3,62;0,098716
3,63;0,098688
3,64;0,098806
3,65;0,098875
3,66;0,09885
3,67;0,098832
3,68;0,098916
3,69;0,099039
3,7;0,09899
3,71;0,098566
3,72;0,097781
3,73;0,096845
3,74;0,095965
3,75;0,09518
3,76;0,094393
3,77;0,09351
3,78;0,092596
3,79;0,091841
3,8;0,091429
3,81;0,091369
3,82;0,091527
3,83;0,091767
3,84;0,091918
3,85;0,091788
3,86;0,091206
3,87;0,090306
3,88;0,089447
3,89;0,088974
3,9;0,088925
3,91;0,089117
3,92;0,089365
3,93;0,089497
3,94;0,089354
3,95;0,088799
3,96;0,08794
3,97;0,087054
3,98;0,08639
3,99;0,085791
4;0,084842
4,01;0,083188
4,02;0,081213
4,03;0,079771
4,04;0,07963
4,05;0,080559
4,06;0,081714
4,07;0,082314
4,08;0,082302
4,09;0,082044
4,1;0,081884
4,11;0,081887
4,12;0,081958
4,13;0,082009
4,14;0,082015
4,15;0,081988
4,16;0,081943
4,17;0,081916
4,18;0,081952
4,19;0,082083
4,2;0,082186
4,21;0,082062
4,22;0,081541
4,23;0,080708
4,24;0,07977
4,25;0,078914
4,26;0,078136
4,27;0,077337
4,28;0,076442
4,29;0,075552
4,3;0,074847
4,31;0,074486
4,32;0,074459
4,33;0,074681
4,34;0,075041
4,35;0,075237
4,36;0,074889
4,37;0,0737
4,38;0,071953
4,39;0,070177
4,4;0,068838
4,41;0,067996
4,42;0,06755
4,43;0,067395
4,44;0,067418
4,45;0,067501
4,46;0,067542
4,47;0,067536
4,48;0,067513
4,49;0,067499
4,5;0,067499
4,51;0,067509
4,52;0,067524
4,53;0,067531
4,54;0,067514
4,55;0,067468
4,56;0,06744
4,57;0,067499
4,58;0,06767
4,59;0,06777
4,6;0,067547
4,61;0,066836
4,62;0,065898
4,63;0,065133
4,64;0,064846
4,65;0,064916
4,66;0,065092
4,67;0,065168
4,68;0,065148
4,69;0,065101
4,7;0,065081
4,71;0,065087
4,72;0,065099
4,73;0,065104
4,74;0,065102
4,75;0,065099
4,76;0,065099
4,77;0,0651
4,78;0,065099
4,79;0,065096
4,8;0,065094
4,81;0,0651
4,82;0,065113
4,83;0,065119
4,84;0,065098
4,85;0,065049
4,86;0,065028
4,87;0,065105
4,88;0,065289
4,89;0,065366
4,9;0,065072
4,91;0,064279
4,92;0,063329
4,93;0,062663
4,94;0,062551
4,95;0,062694
4,96;0,062672
4,97;0,062184
4,98;0,061302
4,99;0,060172
5;0,058989
5,01;0,058101
5,02;0,057886
5,03;0,058511
5,04;0,059521
5,05;0,060343
5,06;0,060601
5,07;0,060477
5,08;0,060253
5,09;0,060142
5,1;0,060163
5,11;0,060303
5,12;0,060496
5,13;0,060536
5,14;0,060192
5,15;0,059391
5,16;0,05846
5,17;0,057791
5,18;0,057608
5,19;0,057723
5,2;0,057888
5,21;0,057935
5,22;0,057904
5,23;0,05786
5,24;0,057848
5,25;0,057856
5,26;0,057868
5,27;0,057871
5,28;0,057869
5,29;0,057866
5,3;0,057865
5,31;0,057865
5,32;0,057866
5,33;0,057867
5,34;0,057866
5,35;0,057866
5,36;0,057866
5,37;0,057866
5,38;0,057866
5,39;0,057866
5,4;0,057866
5,41;0,057866
5,42;0,057866
5,43;0,057866
5,44;0,057866
5,45;0,057866
5,46;0,057866
5,47;0,057866
5,48;0,057866
5,49;0,057866
5,5;0,057866
5,51;0,057866
5,52;0,057866
5,53;0,057866
5,54;0,057866
5,55;0,057866
5,56;0,057866
5,57;0,057866
5,58;0,057866
5,59;0,057866
5,6;0,057866
5,61;0,057866
5,62;0,057866
5,63;0,057866
5,64;0,057866
5,65;0,057866
5,66;0,057866
5,67;0,057866
5,68;0,057866
5,69;0,057866
5,7;0,057866
5,71;0,057866
5,72;0,057866
5,73;0,057866
5,74;0,057866
5,75;0,057866
5,76;0,057866
5,77;0,057866
5,78;0,057866
5,79;0,057866
5,8;0,057866
5,81;0,057866
5,82;0,057866
5,83;0,057866
5,84;0,057866
5,85;0,057866
5,86;0,057866
5,87;0,057865
5,88;0,057865
5,89;0,057868
5,9;0,05787
5,91;0,05787
5,92;0,057861
5,93;0,05785
5,94;0,057853
5,95;0,057886
5,96;0,057926
5,97;0,057913
5,98;0,057789
5,99;0,057641
6;0,057696
6,01;0,058174
6,02;0,059024
6,03;0,059926
6,04;0,060558
6,05;0,060762
6,06;0,060531
6,07;0,059874
6,08;0,058966
6,09;0,05813
6,1;0,057682
6,11;0,057648
6,12;0,057801
6,13;0,057914
6,14;0,05792
6,15;0,05788
6,16;0,05786
6,17;0,057869
6,18;0,057874
6,19;0,057843
6,2;0,057803
6,21;0,057824
6,22;0,057968
6,23;0,058119
6,24;0,058024
6,25;0,057453
6,26;0,056538
6,27;0,055679
6,28;0,055256
6,29;0,055263
6,3;0,055418
6,31;0,055455
6,32;0,055381
6,33;0,055393
6,34;0,05566
6,35;0,055942
6,36;0,05573
6,37;0,054568
6,38;0,052745
6,39;0,051034
6,4;0,050154
6,41;0,050119
6,42;0,050499
6,43;0,050872
6,44;0,051007
6,45;0,050786
6,46;0,050119
6,47;0,0492
6,48;0,048385
6,49;0,048001
6,5;0,048013
6,51;0,048181
6,52;0,048281
6,53;0,048277
6,54;0,048232
6,55;0,048206
6,56;0,048207
6,57;0,048219
6,58;0,048226
6,59;0,048226
6,6;0,048222
6,61;0,048221
6,62;0,048221
6,63;0,048222
6,64;0,048222
6,65;0,048222
6,66;0,048222
6,67;0,048222
6,68;0,048222
6,69;0,048222
6,7;0,048222
6,71;0,048222
6,72;0,048222
6,73;0,048222
6,74;0,048222
6,75;0,048222
6,76;0,048222
6,77;0,048222
6,78;0,048222
6,79;0,048222
6,8;0,048222
6,81;0,048222
6,82;0,048222
6,83;0,048222
6,84;0,048222
6,85;0,048222
6,86;0,048222
6,87;0,048222
6,88;0,048222
6,89;0,048222
6,9;0,048222
6,91;0,048222
6,92;0,048222
6,93;0,048222
6,94;0,048222
6,95;0,048222
6,96;0,048222
6,97;0,048222
6,98;0,048222
6,99;0,048222
7;0,048222
7,01;0,048222
7,02;0,048222
7,03;0,048222
7,04;0,048222
7,05;0,048222
7,06;0,048222
7,07;0,048222
7,08;0,048222
7,09;0,048222
7,1;0,048222
7,11;0,048222
7,12;0,048222
7,13;0,048222
7,14;0,048222
7,15;0,048222
7,16;0,048222
7,17;0,048222
7,18;0,048222
7,19;0,048222
7,2;0,048222
7,21;0,048222
7,22;0,048221
7,23;0,048222
7,24;0,048223
7,25;0,048223
7,26;0,048222
7,27;0,048218
7,28;0,048217
7,29;0,048222
7,3;0,048236
7,31;0,048241
7,32;0,048219
7,33;0,048169
7,34;0,048149
7,35;0,048233
7,36;0,048422
7,37;0,048492
7,38;0,048171
7,39;0,047349
7,4;0,046396
7,41;0,045777
7,42;0,045742
7,43;0,045906
7,44;0,045764
7,45;0,045035
7,46;0,044071
7,47;0,043336
